Number of data,Reference,Experiment No,Train/Test Set,Catalyst,Base,Base wt%,Base 2,Base 2 wt%,Support,Support wt%,Support 2,Catalyst preparation method,Calcination Temperature (C),Calcination time (h),Reduction Temperature (C),Reduction Pressure (bar),Reduction time  (h),Reduction  H2 %,Temperature (C),Pressure (bar),W/F (mgcat/minml),Time on Stream (h),CO % in feed,Inert % in feed,CH4 % in feed,H2O % in feed,H2/CO2 in feed,CO2 Conversion %,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,150,1,25,,0,25,0,0,4,10.169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,170,1,25,,0,25,0,0,4,14.407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,200,1,25,,0,25,0,0,4,28.249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,230,1,25,,0,25,0,0,4,62.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,250,1,25,,0,25,0,0,4,89.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,280,1,25,,0,25,0,0,4,95.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",221,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,300,1,25,,0,25,0,0,4,94.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",222,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,50,,0,25,0,0,4,96.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",223,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,25,,0,25,0,0,4,96.319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",224,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,16.67,,0,25,0,0,4,96.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",225,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,12.5,,0,25,0,0,4,96.626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",226,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,10,,0,25,0,0,4,96.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",227,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,8.33,,0,25,0,0,4,96.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",228,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,7.14,,0,25,0,0,4,96.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",229,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,DP,400,3,450,1,4,66.7,260,1,6.25,,0,25,0,0,4,96.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,150,1,25,,0,25,0,0,4,4.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,200,1,25,,0,25,0,0,4,9.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,225,1,25,,0,25,0,0,4,15.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,250,1,25,,0,25,0,0,4,27.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,275,1,25,,0,25,0,0,4,49.153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,300,1,25,,0,25,0,0,4,75.141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,320,1,25,,0,25,0,0,4,79.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,50,,0,25,0,0,4,80.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,25,,0,25,0,0,4,80.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,16.67,,0,25,0,0,4,76.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,12.5,,0,25,0,0,4,74.847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,10,,0,25,0,0,4,70.245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,8.33,,0,25,0,0,4,69.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,7.14,,0,25,0,0,4,68.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",230,Train,Ni/TiO2,Ni,15,None,0,TiO2,85,None,WI,400,3,450,1,4,66.7,340,1,6.25,,0,25,0,0,4,64.724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",231,Test,Ni/TiO2,Ni,20,None,0,TiO2,80,None,DP,400,3,450,1,4,66.7,150,1,25,,0,25,0,0,4,5.085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",231,Test,Ni/TiO2,Ni,20,None,0,TiO2,80,None,DP,400,3,450,1,4,66.7,200,1,25,,0,25,0,0,4,27.684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",231,Test,Ni/TiO2,Ni,20,None,0,TiO2,80,None,DP,400,3,450,1,4,66.7,225,1,25,,0,25,0,0,4,59.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",231,Test,Ni/TiO2,Ni,20,None,0,TiO2,80,None,DP,400,3,450,1,4,66.7,250,1,25,,0,25,0,0,4,87.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",231,Test,Ni/TiO2,Ni,20,None,0,TiO2,80,None,DP,400,3,450,1,4,66.7,275,1,25,,0,25,0,0,4,93.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,"Liu J, Li C, Wang F, He S, Chen H, Zhao Y, et al. Enhanced low-temperature activity of CO2 methanation over highly-dispersed Ni/TiO2 catalyst. Catal Sci Technol 2013;3:2627–33. https://doi.org/10.1039/c3cy00355h.",231,Test,Ni/TiO2,Ni,20,None,0,TiO2,80,None,DP,400,3,450,1,4,66.7,300,1,25,,0,25,0,0,4,92.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",232,Train,Ni/SiO2,Ni,10,None,0,SiO2,90,None,WI,500,6,450,1,3,50,250,1,4.54,,0,9.1,0,0,4,8.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",232,Train,Ni/SiO2,Ni,10,None,0,SiO2,90,None,WI,500,6,450,1,3,50,300,1,4.54,,0,9.1,0,0,4,37.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",232,Train,Ni/SiO2,Ni,10,None,0,SiO2,90,None,WI,500,6,450,1,3,50,350,1,4.54,,0,9.1,0,0,4,69.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",232,Train,Ni/SiO2,Ni,10,None,0,SiO2,90,None,WI,500,6,450,1,3,50,400,1,4.54,,0,9.1,0,0,4,75.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",232,Train,Ni/SiO2,Ni,10,None,0,SiO2,90,None,WI,500,6,450,1,3,50,450,1,4.54,,0,9.1,0,0,4,75.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",233,Train,Ni-Co/SiO2,Ni,10,Co,2,SiO2,90,None,CP,500,6,450,1,3,50,250,1,4.54,,0,9.1,0,0,4,2.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",233,Train,Ni-Co/SiO2,Ni,10,Co,2,SiO2,90,None,CP,500,6,450,1,3,50,300,1,4.54,,0,9.1,0,0,4,16.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",233,Train,Ni-Co/SiO2,Ni,10,Co,2,SiO2,90,None,CP,500,6,450,1,3,50,350,1,4.54,,0,9.1,0,0,4,57.143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",233,Train,Ni-Co/SiO2,Ni,10,Co,2,SiO2,90,None,CP,500,6,450,1,3,50,400,1,4.54,,0,9.1,0,0,4,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",233,Train,Ni-Co/SiO2,Ni,10,Co,2,SiO2,90,None,CP,500,6,450,1,3,50,450,1,4.54,,0,9.1,0,0,4,81.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",234,Test,Ni-Co/SiO2,Ni,10,Co,4,SiO2,90,None,CP,500,6,450,1,3,50,250,1,4.54,,0,9.1,0,0,4,21.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",234,Test,Ni-Co/SiO2,Ni,10,Co,4,SiO2,90,None,CP,500,6,450,1,3,50,300,1,4.54,,0,9.1,0,0,4,58.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",234,Test,Ni-Co/SiO2,Ni,10,Co,4,SiO2,90,None,CP,500,6,450,1,3,50,350,1,4.54,,0,9.1,0,0,4,83.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",234,Test,Ni-Co/SiO2,Ni,10,Co,4,SiO2,90,None,CP,500,6,450,1,3,50,400,1,4.54,,0,9.1,0,0,4,83.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",234,Test,Ni-Co/SiO2,Ni,10,Co,4,SiO2,90,None,CP,500,6,450,1,3,50,450,1,4.54,,0,9.1,0,0,4,77.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",235,Test,Ni-Co/SiO2,Ni,10,Co,6,SiO2,90,None,CP,500,6,450,1,3,50,250,1,4.54,,0,9.1,0,0,4,10.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",235,Test,Ni-Co/SiO2,Ni,10,Co,6,SiO2,90,None,CP,500,6,450,1,3,50,300,1,4.54,,0,9.1,0,0,4,38.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",235,Test,Ni-Co/SiO2,Ni,10,Co,6,SiO2,90,None,CP,500,6,450,1,3,50,350,1,4.54,,0,9.1,0,0,4,66.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",235,Test,Ni-Co/SiO2,Ni,10,Co,6,SiO2,90,None,CP,500,6,450,1,3,50,400,1,4.54,,0,9.1,0,0,4,80.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",235,Test,Ni-Co/SiO2,Ni,10,Co,6,SiO2,90,None,CP,500,6,450,1,3,50,450,1,4.54,,0,9.1,0,0,4,80.714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",236,Train,Ni-Co/SiO2,Ni,10,Co,8,SiO2,90,None,CP,500,6,450,1,3,50,250,1,4.54,,0,9.1,0,0,4,16.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1714,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",236,Train,Ni-Co/SiO2,Ni,10,Co,8,SiO2,90,None,CP,500,6,450,1,3,50,300,1,4.54,,0,9.1,0,0,4,42.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1715,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",236,Train,Ni-Co/SiO2,Ni,10,Co,8,SiO2,90,None,CP,500,6,450,1,3,50,350,1,4.54,,0,9.1,0,0,4,73.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1716,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",236,Train,Ni-Co/SiO2,Ni,10,Co,8,SiO2,90,None,CP,500,6,450,1,3,50,400,1,4.54,,0,9.1,0,0,4,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1717,"Guo M, Lu G. The regulating effects of cobalt addition on the catalytic properties of silica-supported Ni–Co bimetallic catalysts for CO2 methanation. React Kinet Mech Catal 2014;113:101–13. https://doi.org/10.1007/s11144-014-0732-0.",236,Train,Ni-Co/SiO2,Ni,10,Co,8,SiO2,90,None,CP,500,6,450,1,3,50,450,1,4.54,,0,9.1,0,0,4,76.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
